,from_name,from,to_name,to,P
55,BELEM,"[-48.49361666666667, -1.1196333333333333]",SHAJIAO,"[113.68187666666667, 22.713503333333332]",0.000118524
56,BELEM,"[-48.49361666666667, -1.1196333333333333]",XINGANG,"[113.50651666666667, 23.054016666666666]",0.000177526
57,BELEM,"[-48.49361666666667, -1.1196333333333333]",XINSHA,"[113.545415, 22.974033333333335]",4.30E-05
58,BELEM,"[-48.49361666666667, -1.1196333333333333]",DALIAN,"[121.98408, 38.90600333333333]",5.55E-05
59,BELEM,"[-48.49361666666667, -1.1196333333333333]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.001406215
60,BELEM,"[-48.49361666666667, -1.1196333333333333]",QINGDAO,"[120.25705666666667, 36.08946666666667]",8.46E-05
61,BELEM,"[-48.49361666666667, -1.1196333333333333]",BAOSHAN,"[121.4827, 31.446695]",9.22E-06
62,BELEM,"[-48.49361666666667, -1.1196333333333333]",YANTIAN,"[114.26794666666666, 22.57345]",0.000189445
63,BELEM,"[-48.49361666666667, -1.1196333333333333]",SHANGHAI,"[121.7305, 31.308273333333332]",0.000101627
64,BELEM,"[-48.49361666666667, -1.1196333333333333]",CHIWAN,"[113.8946, 22.455883333333333]",0.000458557
65,BELEM,"[-48.49361666666667, -1.1196333333333333]",NANSHA,"[113.68256166666667, 22.643306666666668]",0.000235005
66,BELEM,"[-48.49361666666667, -1.1196333333333333]",NINGBO,"[121.89526166666667, 29.93238]",0.000151584
67,FREDERIKSHAVN,"[10.545, 57.438316666666665]",DALIAN,"[121.98408, 38.90600333333333]",3.52E-05
68,FREDERIKSHAVN,"[10.545, 57.438316666666665]",ZHOUSHAN,"[122.10661333333333, 29.904]",5.96E-05
69,FREDERIKSHAVN,"[10.545, 57.438316666666665]",YANGSHAN,"[122.08211666666666, 30.608516666666667]",9.58E-05
70,FREDERIKSHAVN,"[10.545, 57.438316666666665]",QINGDAO,"[120.25705666666667, 36.08946666666667]",2.96E-05
71,FREDERIKSHAVN,"[10.545, 57.438316666666665]",YANTIAN,"[114.26794666666666, 22.57345]",2.03E-05
72,FREDERIKSHAVN,"[10.545, 57.438316666666665]",NINGBO,"[121.89526166666667, 29.93238]",1.60E-05
73,SAVONA,"[8.496363333333333, 44.311185]",XINSHA,"[113.545415, 22.974033333333335]",1.70E-05
74,SAVONA,"[8.496363333333333, 44.311185]",DALIAN,"[121.98408, 38.90600333333333]",3.54E-07
75,SAVONA,"[8.496363333333333, 44.311185]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.000400573
76,SAVONA,"[8.496363333333333, 44.311185]",YANGSHAN,"[122.08211666666666, 30.608516666666667]",0.000469723
77,SAVONA,"[8.496363333333333, 44.311185]",QINGDAO,"[120.25705666666667, 36.08946666666667]",2.74E-05
78,SAVONA,"[8.496363333333333, 44.311185]",BAOSHAN,"[121.4827, 31.446695]",2.33E-06
79,SAVONA,"[8.496363333333333, 44.311185]",YANTIAN,"[114.26794666666666, 22.57345]",0.000844405
80,SAVONA,"[8.496363333333333, 44.311185]",SHANGHAI,"[121.7305, 31.308273333333332]",5.30E-06
81,SAVONA,"[8.496363333333333, 44.311185]",MEI SHAN,"[122.00061666666667, 29.766583333333333]",5.03E-05
82,SAVONA,"[8.496363333333333, 44.311185]",CHIWAN,"[113.8946, 22.455883333333333]",0.000101601
83,SAVONA,"[8.496363333333333, 44.311185]",NANSHA,"[113.68256166666667, 22.643306666666668]",0.000356393
84,SAVONA,"[8.496363333333333, 44.311185]",NINGBO,"[121.89526166666667, 29.93238]",0.000451614
85,STAVANGER,"[5.731985, 58.974735]",YANGSHAN,"[122.08211666666666, 30.608516666666667]",0.000180075
86,STAVANGER,"[5.731985, 58.974735]",SHANGHAI,"[121.7305, 31.308273333333332]",4.50E-05
87,STAVANGER,"[5.731985, 58.974735]",CHIWAN,"[113.8946, 22.455883333333333]",4.41E-05
88,ARENDAL,"[8.596636666666667, 58.33657]",CHIWAN,"[113.8946, 22.455883333333333]",6.22E-05
89,MISUMI,"[130.479, 32.4454]",LUHUASHAN ANCHORAGE,"[121.559435, 31.30684]",1.26E-07
90,MISUMI,"[130.479, 32.4454]",XINGANG,"[113.50651666666667, 23.054016666666666]",0.000140473
91,MISUMI,"[130.479, 32.4454]",DALIAN,"[121.98408, 38.90600333333333]",2.69E-06
92,MISUMI,"[130.479, 32.4454]",ZHOUSHAN,"[122.10661333333333, 29.904]",1.46E-05
93,MISUMI,"[130.479, 32.4454]",QINGDAO,"[120.25705666666667, 36.08946666666667]",2.54E-06
94,MISUMI,"[130.479, 32.4454]",BAOSHAN,"[121.4827, 31.446695]",1.15E-06
95,MISUMI,"[130.479, 32.4454]",SHANGHAI,"[121.7305, 31.308273333333332]",2.69E-06
96,MISUMI,"[130.479, 32.4454]",CHIWAN,"[113.8946, 22.455883333333333]",0.000225124
97,MISUMI,"[130.479, 32.4454]",NANSHA,"[113.68256166666667, 22.643306666666668]",7.47E-06
98,MISUMI,"[130.479, 32.4454]",NINGBO,"[121.89526166666667, 29.93238]",3.91E-06
99,OSAKA,"[135.41344166666667, 34.61188]",LUHUASHAN ANCHORAGE,"[121.559435, 31.30684]",1.19E-05
100,OSAKA,"[135.41344166666667, 34.61188]",XINGANG,"[113.50651666666667, 23.054016666666666]",0.000416297
101,OSAKA,"[135.41344166666667, 34.61188]",XINSHA,"[113.545415, 22.974033333333335]",2.94E-05
102,OSAKA,"[135.41344166666667, 34.61188]",DALIAN,"[121.98408, 38.90600333333333]",0.00018725
103,OSAKA,"[135.41344166666667, 34.61188]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.001200656
104,OSAKA,"[135.41344166666667, 34.61188]",YANGSHAN,"[122.08211666666666, 30.608516666666667]",0.000196872
105,OSAKA,"[135.41344166666667, 34.61188]",QINGDAO,"[120.25705666666667, 36.08946666666667]",0.001513321
106,OSAKA,"[135.41344166666667, 34.61188]",HUMEN,"[113.56296666666667, 22.871695]",0.000110136
107,OSAKA,"[135.41344166666667, 34.61188]",BAOSHAN,"[121.4827, 31.446695]",7.65E-05
108,OSAKA,"[135.41344166666667, 34.61188]",YANTIAN,"[114.26794666666666, 22.57345]",0.001718167
109,OSAKA,"[135.41344166666667, 34.61188]",GUANGZHOU,"[113.43307, 23.090493333333335]",3.50E-05
110,OSAKA,"[135.41344166666667, 34.61188]",SHANGHAI,"[121.7305, 31.308273333333332]",0.002879107
111,OSAKA,"[135.41344166666667, 34.61188]",MEI SHAN,"[122.00061666666667, 29.766583333333333]",0.000118511
112,OSAKA,"[135.41344166666667, 34.61188]",CHIWAN,"[113.8946, 22.455883333333333]",0.010251267
113,OSAKA,"[135.41344166666667, 34.61188]",NANSHA,"[113.68256166666667, 22.643306666666668]",0.003505276
114,OSAKA,"[135.41344166666667, 34.61188]",NINGBO,"[121.89526166666667, 29.93238]",0.001056422
115,SANTOS ALEMOA TERMINAL,"[-46.37361666666666, -23.876933333333334]",SHAJIAO,"[113.68187666666667, 22.713503333333332]",0.000254922
116,SANTOS ALEMOA TERMINAL,"[-46.37361666666666, -23.876933333333334]",XINGANG,"[113.50651666666667, 23.054016666666666]",0.000632044
117,SANTOS ALEMOA TERMINAL,"[-46.37361666666666, -23.876933333333334]",XINSHA,"[113.545415, 22.974033333333335]",0.000856481
118,SANTOS ALEMOA TERMINAL,"[-46.37361666666666, -23.876933333333334]",DALIAN,"[121.98408, 38.90600333333333]",2.01E-05
119,SANTOS ALEMOA TERMINAL,"[-46.37361666666666, -23.876933333333334]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.008710214
120,SANTOS ALEMOA TERMINAL,"[-46.37361666666666, -23.876933333333334]",YANGSHAN,"[122.08211666666666, 30.608516666666667]",0.004559718
121,SANTOS ALEMOA TERMINAL,"[-46.37361666666666, -23.876933333333334]",QINGDAO,"[120.25705666666667, 36.08946666666667]",0.000178068
122,SANTOS ALEMOA TERMINAL,"[-46.37361666666666, -23.876933333333334]",BAOSHAN,"[121.4827, 31.446695]",0.000133522
123,SANTOS ALEMOA TERMINAL,"[-46.37361666666666, -23.876933333333334]",YANTIAN,"[114.26794666666666, 22.57345]",0.004349081
124,SANTOS ALEMOA TERMINAL,"[-46.37361666666666, -23.876933333333334]",SHANGHAI,"[121.7305, 31.308273333333332]",0.000259896
125,SANTOS ALEMOA TERMINAL,"[-46.37361666666666, -23.876933333333334]",MEI SHAN,"[122.00061666666667, 29.766583333333333]",0.000113041
126,SANTOS ALEMOA TERMINAL,"[-46.37361666666666, -23.876933333333334]",CHIWAN,"[113.8946, 22.455883333333333]",0.002304504
127,SANTOS ALEMOA TERMINAL,"[-46.37361666666666, -23.876933333333334]",NANSHA,"[113.68256166666667, 22.643306666666668]",0.000630663
128,SANTOS ALEMOA TERMINAL,"[-46.37361666666666, -23.876933333333334]",NINGBO,"[121.89526166666667, 29.93238]",0.0009435
129,PORPOISE HARBOUR,"[-130.336545, 54.23312]",SHAJIAO,"[113.68187666666667, 22.713503333333332]",2.99E-05
130,PORPOISE HARBOUR,"[-130.336545, 54.23312]",DALIAN,"[121.98408, 38.90600333333333]",0.000221542
131,PORPOISE HARBOUR,"[-130.336545, 54.23312]",ZHOUSHAN,"[122.10661333333333, 29.904]",6.18E-05
132,PORPOISE HARBOUR,"[-130.336545, 54.23312]",YANGSHAN,"[122.08211666666666, 30.608516666666667]",3.84E-05
133,PORPOISE HARBOUR,"[-130.336545, 54.23312]",QINGDAO,"[120.25705666666667, 36.08946666666667]",0.000346371
134,PORPOISE HARBOUR,"[-130.336545, 54.23312]",BAOSHAN,"[121.4827, 31.446695]",0.000173901
135,PORPOISE HARBOUR,"[-130.336545, 54.23312]",YANTIAN,"[114.26794666666666, 22.57345]",0.000124754
136,PORPOISE HARBOUR,"[-130.336545, 54.23312]",SHANGHAI,"[121.7305, 31.308273333333332]",0.000330857
137,PORPOISE HARBOUR,"[-130.336545, 54.23312]",CHIWAN,"[113.8946, 22.455883333333333]",0.000206678
138,PORPOISE HARBOUR,"[-130.336545, 54.23312]",NANSHA,"[113.68256166666667, 22.643306666666668]",0.00019538
139,PORPOISE HARBOUR,"[-130.336545, 54.23312]",NINGBO,"[121.89526166666667, 29.93238]",0.000148242
140,WHITBY,"[-0.4459583333333333, 54.67722333333333]",DALIAN,"[121.98408, 38.90600333333333]",2.17E-05
141,WHITBY,"[-0.4459583333333333, 54.67722333333333]",QINGDAO,"[120.25705666666667, 36.08946666666667]",1.62E-05
142,WHITBY,"[-0.4459583333333333, 54.67722333333333]",CHIWAN,"[113.8946, 22.455883333333333]",0.000123125
143,CONVENT,"[-90.83133666666667, 30.0122]",XINGANG,"[113.50651666666667, 23.054016666666666]",0.00024254
144,CONVENT,"[-90.83133666666667, 30.0122]",DALIAN,"[121.98408, 38.90600333333333]",3.39E-05
145,CONVENT,"[-90.83133666666667, 30.0122]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.002094866
146,CONVENT,"[-90.83133666666667, 30.0122]",QINGDAO,"[120.25705666666667, 36.08946666666667]",0.000190481
147,CONVENT,"[-90.83133666666667, 30.0122]",HUMEN,"[113.56296666666667, 22.871695]",8.09E-05
148,CONVENT,"[-90.83133666666667, 30.0122]",SHANGHAI,"[121.7305, 31.308273333333332]",7.40E-05
149,CONVENT,"[-90.83133666666667, 30.0122]",CHIWAN,"[113.8946, 22.455883333333333]",0.000294912
150,PORT LATTA,"[145.64328, -40.758586666666666]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.000123772
151,PORT LATTA,"[145.64328, -40.758586666666666]",QINGDAO,"[120.25705666666667, 36.08946666666667]",9.56E-06
152,PORT LATTA,"[145.64328, -40.758586666666666]",SHANGHAI,"[121.7305, 31.308273333333332]",9.84E-06
153,PORT LATTA,"[145.64328, -40.758586666666666]",CHIWAN,"[113.8946, 22.455883333333333]",0.000165879
154,PORT LATTA,"[145.64328, -40.758586666666666]",NANSHA,"[113.68256166666667, 22.643306666666668]",4.27E-05
155,PORT LATTA,"[145.64328, -40.758586666666666]",NINGBO,"[121.89526166666667, 29.93238]",8.09E-05
156,DERINCE,"[29.855933333333333, 40.749583333333334]",QINGDAO,"[120.25705666666667, 36.08946666666667]",2.19E-14
157,DERINCE,"[29.855933333333333, 40.749583333333334]",SHANGHAI,"[121.7305, 31.308273333333332]",5.82E-14
158,LAEM CHABANG,"[100.89797, 13.054305]",LUHUASHAN ANCHORAGE,"[121.559435, 31.30684]",0.000193779
159,LAEM CHABANG,"[100.89797, 13.054305]",XINGANG,"[113.50651666666667, 23.054016666666666]",9.33E-05
160,LAEM CHABANG,"[100.89797, 13.054305]",XINSHA,"[113.545415, 22.974033333333335]",7.94E-06
161,LAEM CHABANG,"[100.89797, 13.054305]",DALIAN,"[121.98408, 38.90600333333333]",0.002359484
162,LAEM CHABANG,"[100.89797, 13.054305]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.004208218
163,LAEM CHABANG,"[100.89797, 13.054305]",YANGSHAN,"[122.08211666666666, 30.608516666666667]",0.000999278
164,LAEM CHABANG,"[100.89797, 13.054305]",QINGDAO,"[120.25705666666667, 36.08946666666667]",0.018232099
165,LAEM CHABANG,"[100.89797, 13.054305]",HUMEN,"[113.56296666666667, 22.871695]",1.93E-05
166,LAEM CHABANG,"[100.89797, 13.054305]",BAOSHAN,"[121.4827, 31.446695]",0.000151156
167,LAEM CHABANG,"[100.89797, 13.054305]",YANTIAN,"[114.26794666666666, 22.57345]",0.00075234
168,LAEM CHABANG,"[100.89797, 13.054305]",GUANGZHOU,"[113.43307, 23.090493333333335]",2.22E-06
169,LAEM CHABANG,"[100.89797, 13.054305]",SHANGHAI,"[121.7305, 31.308273333333332]",0.041000279
170,LAEM CHABANG,"[100.89797, 13.054305]",MEI SHAN,"[122.00061666666667, 29.766583333333333]",0.001832872
171,LAEM CHABANG,"[100.89797, 13.054305]",CHIWAN,"[113.8946, 22.455883333333333]",0.005037264
172,LAEM CHABANG,"[100.89797, 13.054305]",NANSHA,"[113.68256166666667, 22.643306666666668]",0.001024017
173,LAEM CHABANG,"[100.89797, 13.054305]",NINGBO,"[121.89526166666667, 29.93238]",0.012972335
174,DORALEH,"[43.07352, 11.601786666666667]",LUHUASHAN ANCHORAGE,"[121.559435, 31.30684]",6.56E-06
175,DORALEH,"[43.07352, 11.601786666666667]",DALIAN,"[121.98408, 38.90600333333333]",2.92E-05
176,DORALEH,"[43.07352, 11.601786666666667]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.002736388
177,DORALEH,"[43.07352, 11.601786666666667]",YANGSHAN,"[122.08211666666666, 30.608516666666667]",0.001921513
178,DORALEH,"[43.07352, 11.601786666666667]",QINGDAO,"[120.25705666666667, 36.08946666666667]",0.000226177
179,DORALEH,"[43.07352, 11.601786666666667]",BAOSHAN,"[121.4827, 31.446695]",7.12E-06
180,DORALEH,"[43.07352, 11.601786666666667]",YANTIAN,"[114.26794666666666, 22.57345]",0.000878286
181,DORALEH,"[43.07352, 11.601786666666667]",SHANGHAI,"[121.7305, 31.308273333333332]",0.000442501
182,DORALEH,"[43.07352, 11.601786666666667]",MEI SHAN,"[122.00061666666667, 29.766583333333333]",0.001025854
183,DORALEH,"[43.07352, 11.601786666666667]",CHIWAN,"[113.8946, 22.455883333333333]",0.002087973
184,DORALEH,"[43.07352, 11.601786666666667]",NANSHA,"[113.68256166666667, 22.643306666666668]",0.000857676
185,DORALEH,"[43.07352, 11.601786666666667]",NINGBO,"[121.89526166666667, 29.93238]",0.001910982
186,VERACRUZ,"[-96.17570666666667, 19.361136666666667]",LUHUASHAN ANCHORAGE,"[121.559435, 31.30684]",2.51E-05
187,VERACRUZ,"[-96.17570666666667, 19.361136666666667]",XINGANG,"[113.50651666666667, 23.054016666666666]",7.83E-05
188,VERACRUZ,"[-96.17570666666667, 19.361136666666667]",XINSHA,"[113.545415, 22.974033333333335]",4.26E-05
189,VERACRUZ,"[-96.17570666666667, 19.361136666666667]",DALIAN,"[121.98408, 38.90600333333333]",1.61E-05
190,VERACRUZ,"[-96.17570666666667, 19.361136666666667]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.000770622
191,VERACRUZ,"[-96.17570666666667, 19.361136666666667]",YANGSHAN,"[122.08211666666666, 30.608516666666667]",2.56E-05
192,VERACRUZ,"[-96.17570666666667, 19.361136666666667]",QINGDAO,"[120.25705666666667, 36.08946666666667]",5.54E-05
193,VERACRUZ,"[-96.17570666666667, 19.361136666666667]",HUMEN,"[113.56296666666667, 22.871695]",0.000106121
194,VERACRUZ,"[-96.17570666666667, 19.361136666666667]",BAOSHAN,"[121.4827, 31.446695]",2.38E-05
195,VERACRUZ,"[-96.17570666666667, 19.361136666666667]",YANTIAN,"[114.26794666666666, 22.57345]",4.59E-05
196,VERACRUZ,"[-96.17570666666667, 19.361136666666667]",SHANGHAI,"[121.7305, 31.308273333333332]",7.52E-05
197,VERACRUZ,"[-96.17570666666667, 19.361136666666667]",CHIWAN,"[113.8946, 22.455883333333333]",0.000565726
198,VERACRUZ,"[-96.17570666666667, 19.361136666666667]",NANSHA,"[113.68256166666667, 22.643306666666668]",0.000160252
199,VERACRUZ,"[-96.17570666666667, 19.361136666666667]",NINGBO,"[121.89526166666667, 29.93238]",0.000474412
200,GRIMSBY,"[-0.0870066666666667, 53.576315]",QINGDAO,"[120.25705666666667, 36.08946666666667]",1.78E-05
201,FUNAKAWA,"[139.8756, 39.85893333333333]",LUHUASHAN ANCHORAGE,"[121.559435, 31.30684]",2.82E-06
202,FUNAKAWA,"[139.8756, 39.85893333333333]",XINGANG,"[113.50651666666667, 23.054016666666666]",5.52E-05
203,FUNAKAWA,"[139.8756, 39.85893333333333]",DALIAN,"[121.98408, 38.90600333333333]",5.92E-06
204,FUNAKAWA,"[139.8756, 39.85893333333333]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.000121046
205,FUNAKAWA,"[139.8756, 39.85893333333333]",QINGDAO,"[120.25705666666667, 36.08946666666667]",2.02E-06
206,FUNAKAWA,"[139.8756, 39.85893333333333]",BAOSHAN,"[121.4827, 31.446695]",2.25E-06
207,FUNAKAWA,"[139.8756, 39.85893333333333]",SHANGHAI,"[121.7305, 31.308273333333332]",2.33E-05
208,REDWOOD CITY,"[-122.20981666666667, 37.513283333333334]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.000138859
209,REDWOOD CITY,"[-122.20981666666667, 37.513283333333334]",CHIWAN,"[113.8946, 22.455883333333333]",0.000218572
210,SAMCHEOG,"[129.18932833333332, 37.435475]",SHAJIAO,"[113.68187666666667, 22.713503333333332]",2.93E-05
211,SAMCHEOG,"[129.18932833333332, 37.435475]",XINGANG,"[113.50651666666667, 23.054016666666666]",4.82E-05
212,SAMCHEOG,"[129.18932833333332, 37.435475]",XINSHA,"[113.545415, 22.974033333333335]",7.34E-06
213,SAMCHEOG,"[129.18932833333332, 37.435475]",DALIAN,"[121.98408, 38.90600333333333]",1.64E-07
214,SAMCHEOG,"[129.18932833333332, 37.435475]",ZHOUSHAN,"[122.10661333333333, 29.904]",3.52E-05
215,SAMCHEOG,"[129.18932833333332, 37.435475]",QINGDAO,"[120.25705666666667, 36.08946666666667]",7.26E-07
216,SAMCHEOG,"[129.18932833333332, 37.435475]",HUMEN,"[113.56296666666667, 22.871695]",7.49E-06
217,SAMCHEOG,"[129.18932833333332, 37.435475]",BAOSHAN,"[121.4827, 31.446695]",1.43E-06
218,SAMCHEOG,"[129.18932833333332, 37.435475]",YANTIAN,"[114.26794666666666, 22.57345]",2.83E-05
219,SAMCHEOG,"[129.18932833333332, 37.435475]",SHANGHAI,"[121.7305, 31.308273333333332]",2.45E-06
220,SAMCHEOG,"[129.18932833333332, 37.435475]",MEI SHAN,"[122.00061666666667, 29.766583333333333]",5.05E-07
221,SAMCHEOG,"[129.18932833333332, 37.435475]",CHIWAN,"[113.8946, 22.455883333333333]",3.51E-05
222,SAMCHEOG,"[129.18932833333332, 37.435475]",NINGBO,"[121.89526166666667, 29.93238]",2.54E-06
223,CHAGUARAMAS,"[-61.6336, 10.678]",SHAJIAO,"[113.68187666666667, 22.713503333333332]",0.00013393
224,CHAGUARAMAS,"[-61.6336, 10.678]",XINGANG,"[113.50651666666667, 23.054016666666666]",0.00013351
225,CHAGUARAMAS,"[-61.6336, 10.678]",ZHOUSHAN,"[122.10661333333333, 29.904]",6.24E-05
226,CHAGUARAMAS,"[-61.6336, 10.678]",QINGDAO,"[120.25705666666667, 36.08946666666667]",3.83E-05
227,CHAGUARAMAS,"[-61.6336, 10.678]",CHIWAN,"[113.8946, 22.455883333333333]",0.000133343
228,GWADAR,"[62.34168, 25.112453333333335]",SHAJIAO,"[113.68187666666667, 22.713503333333332]",1.18E-05
229,GWADAR,"[62.34168, 25.112453333333335]",XINGANG,"[113.50651666666667, 23.054016666666666]",1.14E-05
